WordSequence,Predicate,StartOfDialogueAgent,EndOfDialogueAgent,StartOfDialogue,EndOfDialogue
"['?府尹', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?府尹', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['吏?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['吏?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['王捕?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?探道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?平志', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?二叔', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?新年', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '敷衍道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['王捕?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋卿', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['褚采薇', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?新年', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?新年', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['他', '提?', '道', ':', '「', '??', '?容', '」']",1,0,0,4,7
"['?慎', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?慎', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['他', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['正妻沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?玲月', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['李玉春沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋廷?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['他', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['??', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['李玉春', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋卿', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋廷?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋廷?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋廷?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['李宇春', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['李玉春', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋廷?急切', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋廷?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['魏?', '喝道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['姜金?沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['魏?', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['魏?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?正', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋廷?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['??沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['南?倩柔', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?探道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['身后', '有人', '?', ':', '「', '??', '?容', '」']",1,0,0,4,7
"['他', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['朱?孝沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['李玉春', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?卒', '喝道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?新年', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['??', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['孩子', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?探道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?山', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?青', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['褚采薇', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['李宇春沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['侍??', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['李玉春', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安?慰', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['元景帝', '喝道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?探道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['李玉春', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['金?道?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['姜律中沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?二叔', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['褚采薇', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['姜律中', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['她', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?尚?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['白衣男子', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['姜律中', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['魏??和', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?尚?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋廷?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '??', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['浮香柔?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['花魁?', '猜?', '道', ':', '「', '??', '?容', '」']",1,0,0,4,7
"['小青衣', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['她', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['浮香??', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['睄z', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['姜律中沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['姜律中沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋卿', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['元景帝', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['魏?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['姜律中', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['丫鬟', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['褚采薇', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['南?倩柔', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['褚采薇', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['官?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['老??', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['魏??和', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?平志意外', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安?慰', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?金??', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?公主', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['褚采薇', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['怀?公主', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['褚采薇', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安心', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['怀?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['魏??和', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['怀?公主', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安冷不丁的', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安安慰', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['??', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋廷?', '?价', '道', ':', '「', '??', '?容', '」']",1,0,0,4,7
"['?七安沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?腮胡?子', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['姜律中', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['丫鬟', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '解?', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安倒背如流', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安?扭极了', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?娥', '??', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安?', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?衙役一愣', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['王捕??眉', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '低?', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安面?表情', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安?', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安?', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安???', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?衣公子', '??', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?平志大急', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['王捕?落荒而逃', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安???', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?娥', '嘀咕', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安', '惋惜', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?玲月', '羞?', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安', '斟酌', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?守', '?息', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?二叔', '?奈', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安心里嘀咕', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安???', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安?', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?二叔', '沉?', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['宋廷?', '又', '?', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安心里嘀咕', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '感慨', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安', '感慨', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安???', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安?', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['宋廷?', '小?', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安', '提?', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '大?', '?', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['陶?如?相告', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['南?倩柔不信', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '?异', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['褚采薇', '?疑', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '?笑', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['魏?恭敬行?', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '低?', '?', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安撇嘴', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安?', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安?', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['浮香', '懊悔', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '愧疚', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['李玉春', '告?', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['魏???手', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '吩咐', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安眉毛倒?', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['他', '大吼', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安???', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['元景帝', '沉?', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安?', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['褚采薇', '得意洋洋的', '?', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['魏?', '?息', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?府尹', '沉?', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?公主', '?即', '?道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安', '??', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安', '??', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安皮笑肉不笑', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '黯淡', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['??方丈?口气', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '提醒', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '?息', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '?奈', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安躬身抱拳', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '吩咐', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?玲月', '惊呼', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?二叔', '茫然', '?道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安', '哼哼', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安??肩', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '??', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安??肩', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '戒?', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['黑?', '解?', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['橘?口吐人言', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['橘?', '解?', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['女人', '??', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['姜律中', '再', '?', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安', '感慨', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['白衣', '?士', '?', ':', '「', '??', '?容', '」']",2,0,1,4,7
"['?七安', '?愧', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安心?神?', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?易??', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['丫鬟', '?笑', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '疑惑', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?千幻', '忽然', '?', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安??肩', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['橘?', '催促', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '低?', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安', '?异', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安', '?奈', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?', '低?', '?', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?千幻', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '疑惑', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['宋廷?迎上去', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安?', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '?愧', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['褚采薇', '吐槽', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['??泰', '解?', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安大惊', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['那位', '金?', '?', ':', '「', '??', '?容', '」']",2,0,1,4,7
"['官?', '低?', '?', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?尚?', '沉?', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安躬身作揖', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['??音不服', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['??', '回答', '?', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安?', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['那', '??', '?', ':', '「', '??', '?容', '」']",2,0,1,4,7
"['浮香', '幽怨', '道', ':', '「', '??', '?容', '」']",2,0,1,4,7
"['?七安', '?即', '?道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安', '低?', '?', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['侍?欲言又止', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['侍?', '解?', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安?言以?', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['姜律中', '?异', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['姜律中', '感慨', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安?眉', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '立刻', '?', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安', '疑惑', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['?七安', '解?', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['姜律中?', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['姜律中', '?和', '道', ':', '「', '??', '?容', '」']",2,0,0,1,1
"['?七安???', ',', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['宋廷?', '?正', '道', ':', '「', '??', '?容', '」']",2,0,0,4,7
"['紫?', '居士', '道', ':', '「', '??', '?容', '」']",2,0,1,4,7
"['?七安', '?地有?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '??', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['吏?', '回答', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['李茹', '喜极而泣', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安漫不?心', '的?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '直截了?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['朱?令笑', '了', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['王捕?下意?', '的?', ',', '道', ':', '「', '??', '?容', '」']",3,0,1,5,8
"['?七安', '故意', '?么', '?', ':', '「', '??', '?容', '」']",3,0,0,1,1
"['王捕?', '拒?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '低?自?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安笑出?', '了', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '?机一?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '回答', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?衣公子', '大喜?望', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['宋卿', '低?自?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['李慕白', '大怒', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['周公子惊的', '??后退', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?二郎', '拂袖而去', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '抬?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '侃侃而?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['李慕白', '??', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安??', '一?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?泰和', '?慎一震', ',', '道', ':', '「', '??', '?容', '」']",3,0,1,5,8
"['?七安', '反?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '侃侃而?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
